lat,lon
22.5,27.6
22.5,27.6
22.5,27.6
22,27.89
22,27.89
22,27.89
21.5,28.15
21.5,28.15
21.5,28.15
21,28.43
21,28.43
21,28.43
20.5,28.72
20.5,28.72
20.51,28.72
17.5,29
17.49,29
17.49,29.01
18.25,29
18.25,29
18.25,29
19,29
19,29
19,29
19.75,29
19.75,29
19.75,29
17,29
17.01,29.01
17.01,29.01
17,29
17.01,29
17.02,29
16.33,29
16.33,29
16.33,29
15.67,28.99
15.67,28.99
15.67,29.01
15,29
15,29
15,29
14.33,29
14.33,29
14.33,29
13.67,29
13.67,29
13.67,29
13,29
13,29
13,29
12.33,29
12.33,29
12.33,29
11.67,29
11.67,29
11.67,29
11.01,28.99
11.01,28.99
11.01,28.99
10.5,28.75
10.5,28.75
10.5,28.75
10,28.5
10,28.5
10,28.5
9.5,28.25
9.5,28.25
9.5,28.25
9,28
9,28
9,28
8.5,27.75
8.5,27.75
8.5,27.75
8,27.5
8,27.5
8,27.5
7.5,27.25
7.5,27.25
7.5,27.25
7,27
7,27
7,27
6.5,26.75
6.5,26.75
6.5,26.75
6,26.51
6,26.51
6,26.51
5.5,26.25
5.5,26.25
5.5,26.25
5,26
5,26
5,26
4.5,25.75
4.5,25.75
4.5,25.74
4,25.5
4,25.5
4,25.5
3.5,25.25
3.5,25.25
3.5,25.25
3,25
3,25
3,25
2.67,25
2.67,25
2.67,25
2.33,25
2.33,25
2.33,25
2,25
2,25
2,25
1.67,25
1.67,25
1.67,25
1.33,25
1.33,25
1.33,25
1.02,25
1.02,25
1.02,25
0.67,25
0.67,25
0.67,25
0.33,25
0.33,25
0.34,25
0,24.99
0,24.99
0,24.99
0.33,25
0.33,25
0.33,25
0.67,25
0.67,25
0.66,25
1,25
1,25
0.99,24.99
1.33,25
1.33,25
1.33,25
1.67,25
1.67,25
1.66,25
2,25
2,25
2,25
2.33,25
2.33,25
2.33,25
2.67,25
2.67,25
2.67,25
3,25
3,25
3,25
3.5,25
3.5,25
3.5,25
4,25
4,25
4,25
4.5,25
4.5,25
4.5,25
5,25
5,25
5,25
5.5,25
5.5,25
5.5,25
6,25
6,25
6,25
6,25
6,25
6,25
6.5,25
6.5,25
6.5,25
7,25
7,25
7,25.01
7.5,25
7.5,25
7.5,25
8,25
8,25
8,25
8.5,25
8.5,25
8.5,25
9,25
9,25
9,25
9.5,25
9.5,25
9.5,25
10,25
10,25
10,25
10.5,25
10.5,25
10.5,25
11,25
11,25
11,25
11.5,25
11.5,25
11.5,25
12,25
12,25
12,25
12.5,25
12.5,25
12.5,25
13,25
13,25
13,25
13.5,25
13.5,25
13.5,25
14,25
14,25
14,25
14.5,25
14.5,25
14.5,25
15,25
15,25
15,25
15.5,25
15.5,25
15.5,25
16,25
16,25
16,25
16.5,25
16.5,25
16.5,25
17,25
17,25
17,25
17.5,25
17.5,25
17.5,25
18,25
18,25
18,25
18.5,25
18.5,25
18.5,25
19,25
19,25
19,25
19.5,25
19.5,25
19.5,25
20,25
20,25
20,25
20.5,25
20.5,25
